cpu.bogomips,cpu.vendor_id,date.date,redhat-packages.num_installed_packages,redhat-release.name,uname.hostname,uname.os
5587.07,GenuineIntel,Thu Jun 30 14:21:18 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 14:21:17 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 14:21:13 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Thu Jun 30 15:30:48 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:30:47 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:30:44 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Thu Jun 30 15:38:22 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:38:22 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:38:18 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Thu Jun 30 15:45:53 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:45:53 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:45:49 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Thu Jun 30 15:49:52 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:49:51 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:49:48 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Thu Jun 30 15:54:15 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:54:15 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Thu Jun 30 15:54:11 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 11:07:20 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:07:19 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:07:16 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 11:10:30 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:10:30 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:10:26 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 11:19:53 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:19:53 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:19:50 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 11:44:43 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:44:43 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:44:40 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 11:49:05 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:49:04 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 11:49:01 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 13:41:43 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 13:41:43 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 13:41:39 EDT 2016,324,error,localhost.localdomain,Linux
5587.07,GenuineIntel,Tue Jul  5 13:42:10 EDT 2016,379,error,test1.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 13:42:10 EDT 2016,379,error,rho-dev.example.com,Linux
5587.07,GenuineIntel,Tue Jul  5 13:42:06 EDT 2016,324,error,localhost.localdomain,Linux
